,Player_Id,Runs,Balls_played,Strike_Rate,cluster,Player_Name,Batting_Hand,DOB,Country
0,198,123.0,103,119.42,0,AB McDonald,Right_Hand,5-Jun-81,Australia
1,268,18.0,17,105.88,0,JJ van der Wath,Right_Hand,10-Jan-78,South Africa
2,270,27.0,19,142.11,0,S Aravind,Left_Hand,8-Apr-84,India
3,274,20.0,19,105.26,0,AC Thomas,Right_Hand,9-Feb-77,England
4,275,321.0,309,103.88,0,JEC Franklin,Left_Hand,7-Nov-80,New Zealand
5,276,499.0,400,124.75,0,Shakib Al Hasan,Left_Hand,24-Mar-87,Bangladesh
6,277,170.0,142,119.72,0,DH Yagnik,Left_Hand,22-Jun-83,India
7,279,18.0,11,163.64,0,BJ Haddin,Right_Hand,23-Oct-77,Australia
8,280,423.0,325,130.15,0,NLTC Perera,Left_Hand,3-Apr-89,Sri Lanka
9,281,26.0,23,113.04,0,NL McCullum,Right_Hand,1-Sep-80,New Zealand
10,283,29.0,27,107.41,0,J Syed Mohammad,Left_Hand,3-Jun-83,India
11,284,326.0,238,136.97,0,RN ten Doeschate,Right_Hand,30-Jun-80,Netherlands
12,285,75.0,59,127.12,0,TR Birt,Left_Hand,9-Dec-81,Australia
13,289,120.0,91,131.87,0,AC Blizzard,Left_Hand,27-Jun-84,Australia
14,290,7.0,4,175.0,0,I Malhotra,Right_Hand,23-May-84,India
15,297,12.0,11,109.09,0,AA Chavan,Left_Hand,28-Oct-85,India
16,300,19.0,18,105.56,0,Y Gnaneswara Rao,Right_Hand,25-Aug-84,India
17,301,91.0,82,110.98,0,S Rana,Right_Hand,18-Sep-84,India
18,304,83.0,74,112.16,0,RE Levi,Right_Hand,14-Jan-88,South Africa
19,308,503.0,390,128.97,0,SA Yadav,Right_Hand,14-Sep-90,India
20,309,116.0,70,165.71,0,KK Cooper,Right_Hand,16-Feb-89,West Indies
21,310,473.0,346,136.71,0,JP Faulkner,Right_Hand,29-Apr-90,Australia
22,311,47.0,38,123.68,0,HV Patel,Right_Hand,23-Nov-90,India
23,312,12.0,9,133.33,0,DAJ Bracewell,Right_Hand,28-Sep-90,New Zealand
24,266,401.0,367,109.26,0,AL Menaria,Left_Hand,29-Oct-90,India
25,264,43.0,31,138.71,0,Sunny Singh,Right_Hand,18-Dec-86,India
26,261,39.0,26,150.0,0,AUK Pathan,Right_Hand,17-Jun-84,India
27,258,341.0,299,114.05,0,DT Christian,Right_Hand,4-May-83,Australia
28,182,81.0,71,114.08,0,LA Carseldine,Left_Hand,17-Nov-75,Australia
29,188,117.0,112,104.46,0,RJ Harris,Right_Hand,11-Oct-79,Australia
30,190,126.0,93,135.48,0,M Morkel,Left_Hand,6-Oct-84,South Africa
31,192,409.0,364,112.36,0,J Botha,Right_Hand,2-May-82,South Africa
32,431,104.0,78,133.33,0,N Rana,Left_Hand,27-Dec-93,India
33,199,285.0,271,105.17,0,Y Nagar,Right_Hand,6-Jan-90,India
34,204,506.0,405,124.94,0,OA Shah,Right_Hand,22-Oct-78,England
35,207,321.0,260,123.46,0,AP Tare,Right_Hand,7-Nov-87,India
36,209,270.0,236,114.41,0,R Sathish,Right_Hand,14-Jan-81,India
37,217,26.0,25,104.0,0,JM Kemp,Right_Hand,2-Oct-77,South Africa
38,224,278.0,198,140.4,0,MJ Lumb,Left_Hand,12-Feb-80,England
39,313,111.0,103,107.77,0,DJ Harris,Right_Hand,31-Dec-79,Australia
40,226,37.0,29,127.59,0,S Narwal,Left_Hand,16-Apr-82,India
41,229,183.0,179,102.23,0,FY Fazal,Left_Hand,7-Sep-85,India
42,230,181.0,143,126.57,0,AC Voges,Right_Hand,4-Oct-79,Australia
43,231,237.0,213,111.27,0,MD Mishra,Right_Hand,9-Feb-84,India
44,240,10.0,9,111.11,0,KAJ Roach,Right_Hand,30-Jun-88,West Indies
45,241,203.0,159,127.67,0,PD Collingwood,Right_Hand,26-May-76,England
46,244,34.0,26,130.77,0,A Mithun,Right_Hand,25-Oct-89,India
47,245,34.0,23,147.83,0,AP Dole,Right_Hand,9-Oct-87,India
48,246,36.0,27,133.33,0,AN Ahmed,Right_Hand,5-Nov-88,India
49,247,4.0,2,200.0,0,RS Sodhi,Right_Hand,18-Oct-80,India
50,253,225.0,201,111.94,0,MR Marsh,Right_Hand,20-Oct-91,Australia
51,256,18.0,12,150.0,0,Harmeet Singh,Left_Hand,7-Sep-92,India
52,228,156.0,99,157.58,0,Bipul Sharma,Left_Hand,28-Sep-83,India
53,314,62.0,53,116.98,0,Ankit Sharma,Left_Hand,20-Apr-91,India
54,321,388.0,311,124.76,0,Azhar Mahmood,Right_Hand,28-Feb-75,Pakistan
55,322,209.0,170,122.94,0,P Negi,Left_Hand,6-Jan-93,India
56,393,469.0,406,115.52,0,SS Iyer,Right_Hand,6-Dec-94,India
57,394,295.0,224,131.7,0,DJ Hooda,Right_Hand,19-Apr-95,India
58,397,15.0,13,115.38,0,SA Abbott,Right_Hand,29-Feb-92,New Zealand
59,398,48.0,33,145.45,0,J Suchith,Left_Hand,16-Jan-94,India
